tweet_text,tweet_sentiment_value
sucks.,0
i can understand that but to not have another plane available when there is a full day till departure is unacceptable. phoenix?,0
is honestly ruining my fucking life right now. never again!,0
flight cancelled flightled to bdl and stranded airport. waiting almost <> at customer service. shout out to diligent agents.,0
where's the crew for <>?,1
thanks . not sure arranged move to the earlier flight but i'm at the gate with a seat assignment. super nice agent at gate <> ord,2
quality work going on here.,0
no customer service rep could confirm where my bag was and each gave me different info. ruined <> events i had today. disappointed,0
we've let you know how to help the millions of customers you've treated like garbage. it's no coincidence your ranked worst airline.,0
"yes, after landing at <> last night. spoke to <> baggage claim customer service reps. finally spoke to one amazing ticket agent.",0
charging <> for biz flight to uk somewhat egregious. charging <> on top for a sam adams draft at the club is usurious.,0
i see. thanks for explaining.,2
your social listening capabilities are awful if this is the reply for the context in which you were mentioned,0
if you follow me i will dm you my phone which you can call.,0
"after an hour wait, my issue is resolved. i did contact customer service to comment on the wait time. thanks for contacting me.",2
"yes, they did. must have fixed the broken ramp. thanks!",2
flight<> is basically a prison on the runway at sfo <> <> of sitting no water no answers. reminded y i hate this airline,0
thanks,2
"hey, i missed my outbound flight - can i still use my return ticket?",1
says is the final carrier . us air doesnt have it. i want my bag! not a claim not an im sorry. i want my clothes!,0
seriously? <>-<> hours to get bags from iad intl arvls to carousel <> for custs wcancelled flightled connects? i understand irrops but ridiculous!,0
most terrible flight experience happening to everyone right now on flight<> <> delays <> hours total missed all my flights now thnx,0
one of you has my bag! claim <> and i want it in mga! now!,0
you have failed so uncontrollably today that it's beyond repair. i'm beyond livid with your absolute disregard to operations.,0
the opal dragon book the dragon ali has woven his murdering ways from the philippines to australia,1
a friend traveled via <> today and never got their luggage. what recourse does the person have? buy clothes and get reimbursed?,0
i keep getting kicked to an error message when trying to purchase a flight on have tried at least <>.,0
- any way to get a message to an international flight gate at ewr? road conditions are horrible trying to get to flight .,1
hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen?,1
you have a culture issue,0
rep wouldn't rebook. this is such a waste of time and poor communication,0
my flight is late flight due to mechanical issues <> of <> flights in past <> days!,0
employees almost seem happy when delivery terrible customer service.,0
can i get your service desk at iad?,1
its <>. how can my flight from a major city already be cancelled flightled <> hours before departure due to weather? backup planes?,0
kurt and the crew on <> were amazing today. they made my son's birthday with their kindness. hope to fly with them again soon!,2
"been on hold on the phone for well over half an hour, waiting to make a reservation change i wanted to make online. help!",0
"<><> instead, had to wait on plane from ottawa that never came. now i'm back home and have to try again tomorrow. suitcase still lost",0
i'm glad you can solve the prob. but my experience remains - will not fly again on,0
you cancelled flighted my flight from iad to jax. was supposed to use plane from bna but you used that plane for another destination instead. <><>,0
"appreciate the early arrival of <>, but any chance ord will ever bring the bags out?",0
- it is possible to make a ticket change via twitter? traveling internationally and can't make calls. thanks in advance!,1
a broken luggage and a mild case of food poisoning from <> lhr-iah. who can i email about this?,0
just filled it out. hope someone responds before we book our next trip.,0
friends been sitting in houston since <> flight cancelled flighted. still don't have any answers. badcustomerservice <>,0
meant changed planes - i hate seating over wing if you wanted i would have booked it - you will get formal complaint,0
give me an email address and i'll send the actually screen shot to you.,1
you guys did it again changed ages and double booked seats so i had to i've even though i have platinum and the other person none,0
also checked email you have on file for me and it is correct,1
havent before and havent this time and have checked spamjunk mail just in casenothing,0
sloppy stuff you don't see anymore - has raised my expectations - this team was poor,0
how long does it take to get a response from your customer service about a complaint done through email?,0
"no bag tagging, led to many people backing up the aisle to front with bags",0
"cabin crew were huge offenders, stood as a conversational cluster blocking exiting passengers",0
allowing passengers on my flight to block exit of plane,0
no wheelchairs,0
"no commitment to a good turnaround, an operations mgr would have counted a dozen small issues with individual performance",0
the nightmare continues.,0
this team added <> minutes on turnaround,0
"as a million miler with ua, and flying almost every week i observe gate and flight crews committed to good operations",2
call wait times are over <> minutes and airport wait times are longer,0
"thanks, we did.",2
"yes, i've been waiting for four hours and no one has been able to help me.",0
thank you for compensating us for our <> lost bags. we will fly with you again! airlines,2
we are sitting on the runway for <> hours! it is ridiculous!,0
", no, your service here pretty much ruined my day, but thanks for the weak attempt",0
"what, you forgot to tell them the flight was coming. thanks for allowing me to miss my connection",0
"such as deodorant, shampoo, toothpaste. seems like that would be limited to <>, correct?",0
why was i forced to check my rollaboard on ua <>? plenty of room in the overhead next to my seat.,0
please don't take my membership away bademoticon,0
". please get me an economy plus seat. awful day of <> cancelled flighted flights, after lots of planning.",0
"has me stranded weather not to blame. <> hold to speak to an agent that doesn't understand the concept of time zones, thanks!",0
! yaayy! yay prom!,1
but your system gave my seat away. now i'm <> economy! not econ seat. how did you give my plus seat away?,0
i just asked my boyfriend to prom over the loudspeaker on flight <> he said yes! best day ever! thank you so much!,2
"yepused that twice no case id numbers assigned just tried it again-get screen that says, thank you for submitting your request",0
please. you moved my seats and lost my upgrade. i had seat <>. i have a ticket in my hand for <>,0
so appreciated!,2
hmmm. seems like this could be something to be changed to be more flyerfriendly.,2
no problem just follow me back so i can! thank you!,2
any help is appreciated. that's a looong wait for help on something that's not his fault,0
my husband is supposed to fly rdu to iad then iad to fra leaving in <> hours. you cancelled flighted his flight and there's a <> wait on phone,0
is probably the least satisfactory airline i've ever been on. never fails to disappoint.,0
this flight has been amazing. this is the best flight i have ever been on i am not kidding. service is incredible!,2
not sure why you call it customer care. should be customer we don't care,0
who is in charge of making decisions over there? cancelled flightling flight <> was unacceptable. i should be in belize right now.,0
i fly normally. this doesn't happen to me with them. i'll let your flyers provide their own feedback. thank you.,0
the upgrade to first class was a nice way to fix your earlier mistake. thank you!,2
how about plowing the snow at a gate before the plane arrives so we don't sit for <> minutes after an <> hour flight. fail,0
saturday this morning man dies from ebola,1
rhonda c. at atlanta airport redeemed you guys. she got us straightened out.,2
"ok so what is being done about my experience? my family had a terrible experience for <>,<>. it's kind of like being robbed. explain",0
great job losing one of my six bags on a direct flight. don't know how you manage to do it.,0
the worst customer service in denver.,0
"ruined my day and start trip sfo to gig. both legs changed, lost my paid upgrade and <> <> class seat and moved me from econ to econ",0
so what's allowed or what's not allowed to be carried in my checked baggage?,1
now been on board with no movement for <> minute. wow this experience just keeps getting worse and worse,0
have an employee at the gate <> before boarding like you expect your customers to. be a competent company like your rivals,0
no wonder the cabin is filthy. badservice,0
"and then when we asked the stewardess to take the disinfectant wipe as trash she said, ""not with my hands!"" badservice",0
i need to be a better airline!,0
flight was cancelled flightled due to mechanical issues but when i ask for cab fare they say it was weather and can't help me,0
"i haven't booked yet, i'm asking before i book",1
"hi there, looks like my connection is delayed too so i'll make it. thanks!",2
"luckily, i had my disinfectant wipes and did your job for you. you're welcome. badservice",0
you really should clean the food and coffee stains off of the area around the seats when new passengers come aboard. gross!,0
cldnt be happier w the many plastic wing pins given to me on flight <>. i love them! amazing staff! so nice,2
since ua <> ord-ewr is delayed pushing it into meal time does that mean it will be catered with meals in first?,1
help? invest more in your planes and your people and less in stock buybacks and executive pay. maybe then you would not disappoint.,0
roc flight cancelled flightled. love my snowy drive home with no useful substitutes,0
correct? what's correct? sorry i'm lost,1
that's a crazy long form! you need something other than a video?,0
i hope not to see the same issue on my return flight tomorrow,0
flight just cancelled flightled. this is ridiculous,0
i'm flying ua but g with <>,1
you shouldn't page o'head that it's best to call <>-<> - on hold <> minutes,0
"we have developers flying down tmrw morn. w<> minute layover, there is an earlier flight to have <>.<> layover, can move them up?",1
thanks for the reply. if you can get me a better seat on my next leg to munich. that would be nice.,2
appreciate getting put on hold for <> and then getting hung up on because i was requesting help for big group. i'll try,0
home is calgary can you get us there without the added expense of accommodations and meals.,1
thank you for your reply. my frustration is that spending a upgrade just puts you on a wait list.,0
or your staff could try not throwing the luggage around.,0
<> of us are stranded and flying from new orleans to huston tonight and we will be stuck there for two days. rather fly than wait.,0
hello i am flying first class and am behind <> people on zone <>! please pass on to app dept - you should board <> class first,0
thank you for taking care of my mom and reflight booking problems her flight in phl.,2
"can't get anyone to deal with me in person. cowardly customer service, i can't be looked in the eyes by anyone.",0
"nope. called, lost the seating preference i paid for, and here i still sit. we'll see what happens w my flight late flightr.",0
stuck in dc trying to get to denver. the engine shut down twice on us at the terminal. got any available flights for me?,0
"ill check it out, appreciate the response, regardless.",2
nope. no case id either time.,1
yes <> cancelled flightled. moved to <>. i'll figure out car rental changes and such.,0
"troubling news, time to raise the bar on legroom!",0
<> was phenomenal frm gate sea to gate iad,2
. thanks. hopefully this is easily resolved.,2
"<> gold. so the international baggage limit apply when booked on <> ticket, even for a domestic leg? what if i travel with <> friends?",1
terrible travel experience. traveled <> miles roundtrip but two cancelled flightlations of short hops cost me two days,0
why are you charging people to see the freaking flight map?,0
my flight from mco has been delayed and scheduled to arrive after my connection departs. what options do i have?,0
is not a company that values it's customer and after reading tweets to them i'm not the only one who feels that way lostmybusiness,0
"i was insulted, disrespected and met with incompetence at every turn how about a voucher for a domestic round trip",0
. day to iad and cvg to iad both cancelled flightled by but all other airlines operating. friend stuck and now miss intl flight. help?,0
already dm you my concern. please check.,1
well if you don't want your customers to be frustrated compensate them appropriately when you screw up royally! fakesincerity,0
"i'm aware, i fly a lot goodemoticon just sad i had to change my shoes boots, ha! happyflight",1
i will. thanks.,2
"employees are the angriest, angst-iest group of people anywhere except for tasha at check-in at iah. or alive",0
but it's doubtful he'll fly again and he will be traveling a lot as a sales manager covering all of north america,0
they finally gave in a let him on. after they threatened to send him back to vegas on coach. thnx.,2
worst customer non-service for sure!,0
worst airline ever?,0
same flight number different flight. i'm heading to mpls,1
flights taking off from iad this afternoon?,1
i will. i have to get to bangkok. i have just <> days to spend with my husband in his mid deployment leave. like to get there asap,1
just let the employees know that good service and a kind attitude towards customers is vital in this kind of business. thanks,0
and a husband.,1
need assistance. line is out the door and travelling with <> kids.,0
friend at o'hare and can't get on flight bc they say no proof he bought <> class tkt. he has boarding pass.,0
"gave me a smile today, with a zero award. - computers have some sense of humour goodemoticon",2
"right now at tropic air in san pedro, belize. line out the door. all due to elected and appointed hacks",0
i take it as a compliment that i was mistaken several times as a member of your staff on my flight. time to remove my scarf goodemoticon,1
"your new mileage policy is awful. before, i might have paid slightly more for because of miles. now there's no difference.",0
can anyone assure me that the aircraft coming to denver had left it's previous destination? flight <>,0
yes refund my ticket and give me email address to let you know what happened,0
i would like <> speak vp of custexp jimmy samartzis! i sent a surveyemail about my awful flight exp,0
"we are delayed in san pedro, belize. we are scheduled to fly out at <> from belize city to houston. will you wait please?",0
hello . you should take care of your call center in mexico city office. terrible attitude from the lady who was helping me.,0
"great! i'm guessing you were late flight to open, service is horrible, you're overcharging, and don't care that everyone is miserable.",0
"i'm glad <> means something, lol!",1
unbelievably disappointed. delay after delay. stop messing with my life.,0
what a really great and flattering story about you! you should be very proud goodemoticon via,0
i was able to get a seat on earlier flight sfo to ind. can you add me to <> ord to ind?,1
i'm on snowy roads to bwi. i just called mileageplus and told flight was cancelled flighted <> <><> hours ago. i rcvd no notification. please help,0
i interviewed yesterday as a flight attendant i was the last person the recruiter said they lost my file n came back to interview me,0
"remember in business, a pleasant experience, means you will tell a friend. a bad experience means you will tell everyone you see",0
let me assure you my travel time is <> not <> timezones accuratetraveltimes <>,0
you bums how do you lose the biggest bag on the flight,0
is to airlines as is to cableinternet,0
customers check mark button . customer service cross mark,0
"great decision making skills flight ops iah bag makes a <> minute connection and i don't, flight pushed early. disappointed!",0
"meanwhile, they fucked my flight. the festivities are already in full swing at the fairway club, overlooking the <> hole.",0
"in the process of purchasing ticket, when prices changed. unbelievable. ripoffs pricediscrimination",0
"although, i am stranded in chicago o'hare for another <> hours. any chance your cracker-jack service team could provide a meal?",0
"all flights cancelled flighted bademoticon trip refunded without difficulty, staff extremely helpful, no complaints! way to handle bad weather!",2
<> hours after landing in atl and i still do not have my bags. which means no clothes or makeup! airlines nothappy,0
bullying in the workforce not ok. get gate agents <> work as a team. <> against <> is never cool. delays flights airlines,0
"really fucked my day up hilo to lax <> delay because of software? missed connection, getting home <> late flightr no upgrade nothin",0
send someone to the customer service counter in person. dia concourse b across from gate <>.,0
i'm not sure why i expected anyone to be here,0
this is not true. gate agents <> caused this. and we're not helpful. thanks for making me miss connection!,0
yes. luckily i was there.,1
it's my <> birthday and my sister is coming to celebrate but her flights keep cancelled flighting please do all you can to get her here!,0
what's the hold up with flight <> from slc to den?,0
den-phx flight tomorrow cancelled flighted. asked for overnight <> in laxsna. told not without paying. that's wrong,0
can you please follow for a dm?,1
thank you for the help!,2
yeah that didn't happen!,0
why do i still not have my bags? they arrived andwebsite says they're still at the airport.<> <><> hours late flightr?! nothappy,0
had a maintenance issue. stuck in geneva with meal voucher that won't even cover a plate flight of spaghetti. really.,0
hate when i get bumped out of the seat i've selected and empty row and moved to another seat non-empty. <> <> nonupgrade!,0
"no announcement re extra baggage, ""find an empty bin"" down to aisle <> back up with baggage to my seat row <>. your agents argueing",0
bags arrived - i sure miss the customer focused days when i used to fly here's hoping wakes up,0
total bs. have <> class seats for connecting flight. your crew late flight. we miss connection. had next plane. yet you don't honor it?,0
. too much info to share via tweet. please send me your name and contact info. happy to supply you with images and cs rep names.,0
once again your lack of customer service astounds me! you are the worst airline in the history of airlines! train your staff!,0
extremely disappointed in <>. left crew and pssgrs stranded in rain at gate with no cover. left psngrs <> depart plane,0
"besides landing the plane, overall customer service experience has been poor. late flight and rude workers plus missing luggage",0
i was just calling the global services help desk so via phone.,1
"on final. please don't let my connection leave!
conf <>",1
"fuck you, and your shitty fucking information",0
you're good. thank you!,2
how much does a ski bag cost to check? bag contains <> pair is skis and one pair of poles,1
"wasn't frustrating! well, not in any way relate flightd to y'all, anyway. impressed that i made it.",2
no thanks,1
i got it now. wouldn't let me log on with my email. thanks. here's hoping for dtw-ase without issue today,1
"oh, the wi-fi router is on top of the fuselage! goodemoticon",2
"on sfo- aus <> <><>, <> my seat appears to have had a mite problem. dr recently confirmed over <> bug bites were mites",0
"come on, reopen <> at ord and clear your growing dc backlog",0
"customer service <> delay coupon can only be redeemed on website which has <> higher prices than expedia, call wait time <>",0
i'm strongly considering taking my business elsewhere. airlines,0
"your website won't allow me to post the required document, i keep getting were having technical difficulties",0
lounge at heathrow used by,1
"really needs to start upgrading their planes. no tvs and then the ""inflight wifi"" is currently unavailable airlines",0
i am not digging the new mileage earning plan. i would earn about <><> of the miles i do now. any changes to the award ticket prices?,0
outsourcing ticket and gate agents at mia. ill advised. you did it in roc and service went downhill. keep employees and fliers first,0
was just hung up on by customer service after waiting <> minute on hold. guess that vacation's not happening? website wasn't working.,0
bad idea to let <> people back on the terminal with food vouchers but allow only <> minutes to get anything. long lines! <>,0
what's going on with the mileage plus accounts? login through username and email have been down for at least three days.,0
what incentive do i have to give you another chance?,0
my dad booked through orbitz and due to weather he can't make it to the airport. can you help him?,1
finally i get the right response. must check this issue. ua <> ewr to puj on friday <><><>.,0
<> to begin newark-london heathrow route on may <>,1
"rebooked, arrived <> hours late flightr. last year <> hours to san diego and the no inflight entertainment!",0
lost bag in huston we leave for a bahamas cruise today from nola and had to buy all new stuff. customer service is non existent,0
site errored out at last step of changing award. now can't even pull up reservation. <> minute wait time. thanks !,0
you get a <> chance today as i fly to a'dam. let's see if you can redeem yourself after that last horrendous trip to the states.,0
very impressed so far. an app that's worth a damn and sms updates on my flight.,2
any last minute flight deals for your cute little frequentflyer ? goodemoticon my friday flight was cancelled flightled!,1
just had the worst customer service experience ever on airlines,0
airlines <> and only time i ever fly your airline! what a disgrace. nfl i should've listened to your tweet! horrible,0
"diverged to burlington, vermont. this sucks.",0
officially has the most inefficient boarding procedure. there is no reason it should take <> minutes to board a plane!,0
<> hours of sitting in the plane that hasn't left the gate yet. <> more hours of actual flying left.,0
i sent my details to the customer care link you sent me almost a month ago and no response.,0
terrible service for military members and their families. ridiculous airlines,0
hi have a question re future flight booking problems. dub-jac <><> jac-lax <><> lax-dub <><>. i'm g. what is checked bag allowance for jac-lax?,1
my flight was cancelled flighted and i'm needing some help reflight booking problems.,0
"i was, just very surprised it took over <> minutes. never experienced anything like that on <> number",0
<> <> taxies official departing as <> to newark liberty airport,1
i'm afraid not. i fly or service every week and i'm just unhappy. spend too much money to be unhappy,0
"thank you.
it's my daughters <> bd party wproj. weather cond, it doesn't look promising.
please assist with earlier flts to cmh?",2
"if you're going to cancelled flight flights today, do everyone a favor and get on it now. don't stall the inevitable.",0
your plane's been waiting at the gate for two hours with all passengers onboard in their cramped seats. yuck.,0
flight <> got delayed <> hours due to a mechanical issue. could use a free drink or <> to make up for this inconvenience,0
his cell phone record needs to be checked to see who did conversed with. i trust the faa can handle this better.,0
<> for wireless? was <> epic fail . greedy piggy you are the worst!,0
have you inspected the picture? routine aircraft check while on his cell phone? what will the faa and nyt say ?,0
"your ""airserv"" contractors aren't worth a wet damn. <> late flight, still not done w bags on <>. they made checkin a calamity.",0
will never fly with you again! terrible service! ruined our entire vacation! lostsuitcase noreimbursement,0
"web app won't let me upgrade seats, call center wait time is <> minutes plus, just want to get more legroom but it's a pita",0
<> characters does not cover my reasons i'm afraid,0
while busy on his cell phone ?,0
"really, fill out a form about my flight experience? i sent an email to the <> email address.",0
"""left gate <> minutes early."" my thoughts ""that doesn't count if you sit on the tarmac for a half hour."" comeonpeople",0
will the kudos to capt. herman be relayed to his chief pilot or should i be emailing someone?,2
on flight <> but it's not departing! website says delayed due to operational difficulties-what does that mean?,0
"do you teach your gate agents <> lie? or do they just learn on their own? there was overhead space for my bag, didn't have to check",0
first officer of ua <> checking our <> prior to departure from ewr yesterday while on his cell. safety ?,1
i booked lh via ua. however at gate they rebooked me to a late flightr lh flight. now that flight didnt earn pqd for me. how do i get it,0
coupled with self-service policiescost cutting exacerbates the noted issues. <><>,0
"i appreciate the immediate offer, but suspect it is more long-term issuenot simple fix. also, skibootbag policy is awkward at best",0
"it isnt simple issue, generally how you set up check inbaggage policies at logan and general unhelpfulness of employees in early am",0
terrible illogical re-route after cancelled flightled connection. then made me pay to check bag. then lost bag. ual,0
i already follow you. one of you <>-number agents rebooked me. went from a <> to an <>. ugh.,0
good job at cle . tpa on schedule . <> to <> inches of snow !,2
never fails to have delayed flights enraged face,0
"yes, myself and about <> other people also.",0
is elp friendly. flyerfriendly <> elpaso,2
it's been booked into first class with curbside delivery <> hours from now. i'm counting on it! teamusa,0
lets do that can you email boarding pass?,1
we hope you don't miss your connection. for help with re-flight booking problems please follow us and dm your confirmation. cpdone thanks,1
is ridiculous! <> delayed for <> hours and counting. should have booked with a diff airline that takes it seriously sucks,0
provide a voucher for one of my customers and i will tweet about you all day long earnedmybusiness,2
at msp w<> employees trying to check in several hundred and the line is crazy might miss our plane be sure to thank these employees,0
stellar customer service. you have earned my business by your attention to detail.,2
service by staff was great as usual. cleanliness and smells a bit much. i'll be back. satisfied traveler,2
now arrives lax at <>,1
i do i was on ua <> lax to den - we are scheduled to land lax at <> - please rebook to denver - best flight,0
no first class passenger should have to pay for inflight wifi.,0
hey you've upgraded me on a <> hour international flight. i forgive you goodemoticon thank you!,2
"my flight out of bgm cancelled flightled last night, i get a hotel voucher, but had to pay for a cab back. worse cab experience ever",0
"'s first flight <>, to iah from iad is delayed. because no one hooked up ground power to the plane. get it together, folks.",0
"ua <> there is no way a plane ""loses its software"" i believe you decided to do an upgrade.",0
already missed connection. ua <>,0
typically once you get the problem fixed - then the crew expires - and the delay turns into a cancelled flight.,0
"ua <> delayed again - i get charged <> if late flight by you - you say ""oh well""",0
we are trying to go as far away from king'scollegelondon as possible for charity today. would you help us ? jailbreak rag,1
"friend stuck in bus on runway at pek with two small kids no customer service, no explanation, kids crying, awful service.",0
yes to more food! add some gluten free options while you're at it,2
no. you guys suck. i'll never fly with you again. and your supervisors suck too.,0
on a flight to new york! love the quality planes on ! wtf crappy aviation newyork,0
page values your tweet bc it's so rare that they receive tweets complimenting their service. most are fake.,1
yes there is when you keep getting the same robotic answer.,0
thank you for a great flight in gfc goodemoticon cheers,2
bad customer service to nyc a few weeks ago. thinking of moving on,0
's ceo has decided to outsource and or push out more and more of their skilled and loyal employees. lack of staff,0
"i mean, your employees were really nice as i literally sobbed?",0
"she means to say there has been so many complaints today this week, this month that she can't respond bc she's alone",0
i was flying home for a <> event tomorrow. you pushed back my flight. now i have a <> ticket that won't get me home in time.,0
they held the plane! made it!,2
- you delayed our departure by <> hours to wait for passengers from another flight that was late flight! unacceptable!,0
"ok, have sent you info via dm. i appreciate your help and consideration. smiling face with smiling eyes",2
flight <> from chicago to houston over <> hours and no pretzels or peanuts?! seriously about passed out.,0
nice and early back home!,2
i hope so too goodemoticon,2
- after having to now tag my own bags at the airport i was hoping they would actually arrive with me - here's hoping they arrive,0
i'll make sure he's done that. thanks for the help. this is a huge race for him and just trying to make sure it goes smoothly. peace,2
i had planned to book additional flights tonight but after <> <><> hours working on one trip i'm worn out! enoughisenough,0
so much for being here to help. very disappointed in your customer service.,0
"if you'd love to see more girls be inspired about becoming pilots, rt our free woaw event march <>-<> at abq.",1
your system is down and after being on hold for over <> minutes -mia tells me she is going to charge a flight booking problems fee?! customer service?,0
. i took a screenshot and emailed it to myself. let's dm and figure this out.,1
she clapping hands won't clapping hands be clapping hands at clapping hands my clapping hands wedding clapping hands . this is an irreplaceable milestone. there's no reflight booking problems. how can we be repaid for this?,0
brothers luggage was lost on copa airlines flight <>. he's competing sunday for the <> panamerican cross country cup. please help,0
", will you fill it? yes they will. thanks! bringyourown,",2
on last flight of the day no less. i am now driving <> hours to aspen thru a snowstorm thanks to your teams lack of customer empathy,0
brothers baggage was lost on route to <> panamerican cross country cup championship in columbia. his race is sunday. please help.,0
yes there were plenty of seats available. so why did vicky thomas refuse to give one to a million mile flyer?,0
"funny, both my flights yesterday were delayed because of mechanical issues. rotten luck to get <> planes in a row with ""issues"".",0
that would have been nice earlier today. too late flight now. i hope.,0
waiting <> minutes and counting to get through to global services. something going on?,0
no still trying to get home.,0
also your at-gate monitor showed <> empty seats,0
that is not what your reservations desk just told me. they said there were plenty of seats,0
"very exasperating i'm having a difficult time with flight booking problems as the error message says you're undergoing maintenance. really, now?",0
. this flight attendant was extremely helpful to a woman who had a hard time walking. very touching!,2
please call me at <>-<>-<>.,1
<> make it happen please else on a cruise with no luggage tomorrow,0
no i did not make connection. your stellar employee vicky thomas refused to board me even though <> empty seats on plane,0
of course. that was the start of my trip <> wks. ago. its gone further downhill on my return.,0
no you don't,0
"how much longer will it take? it a guitar, not a royal commission!",0
"i have a voucher that expires next week, can i get an extension on it before it expires?",1
"sure, but <> different texts changing time and gate especially locations across the entire concourse. that just seemed a little off.",0
you know what would be awesome? providing us with complimentary entertainment on your flights. especially those longer than <> hours.,1
dm sent. thanks.,2
"to late flight now, but in future flights, train staff better to handle emergency situations, and ground staff in customer service",0
san diego to chicago. leaving at <> tomorrow,1
stuck in this airport <> hours in standbys cuz the pilot showed up late flight in pjs and i missed my connectin flight. pj's i tell you! nyfw,0
"brian at sfo customer service deserves a raise, gave me extra meal voucher and a good joke to cheer me up after flight delay. ftw",2
thank you! have a nice evening.,2
if i wait i'll lose the flight. so frustrating.,0
it most certainly was not.,0
its available online i just can't figure out how to do it to guarantee same flight,1
trying to book flight wmiles. was on hold for <> before i gave up. need to get <> on same flight using two diff and pay <> <>,0
no thanks. took care of it when i called,2
"that's the tweet you choose to answer, to tell me you're not liable?! youretheworst neveragain",0
y not? you're the reason we're in houston and not nyc tonight. it took the plane an hour to take off - no explanations or sorry.,0
awesome thank you very much for the help,2
you need to follow me so i can dm you to give you the info,1
". agents arguing about check bag announcement. looked for room until seat <>, gave up and walked back to seat <>. unnecessary",0
yea i saw that i'm moving to china and have <>-<> bags will pay whatever but wanted to make sure it was ok to bring that many,1
"you should change your name to incompetence. no flight until monday, have to take a <> hour drive now to get to my flight!",0
"not even mentioning how rude the customer service was to us. as a business owner, i'd be mortified if my employees acted as yours",0
kept me watching the safety video for the first time in forever. nice job thumbs up .,2
has time to respond to everyone else's complaints but not mine. you just lost a customer,0
thanks to lea in the chicago office for her help in switching our cancelled flighted flights!,2
"""most likely"" makes it sound like you have no idea, which is not how i want my flights to be. please use facts thanks.",0
tell me something i don't know. not <> weaktea,0
the wait time for a baggage question is <> minutes that's crazy is there a limit to the amount of bags i can bring internationally,0
emery we don't like to hear this. is there anything we can help with? thanks. ey another empty offer for help.,0
i'm try to upgrade my seats to first class but the wait time on the phone is <> minutes. can you help?,0
<> is a coshared flight w ana. unable to check in <> hours prior.,0
never flying with you guys ever again. the customer service is piss poor at best.,0
when a <> hour flight turns into a <> ordeal. sigh,0
where are our luggages? with a group and over <> luggages are lost,0
"assistance with what, the attitude of your staff no matter which airport we are at?",0
sure. follow for a sec and i will.,1
thank you so much for your help with my birthday trip! tickets are confirmed! goodemoticon,2
"airlines.
on flight ua <>.
need to make ua <>.
can you hold the plane for us?",1
thank you.,2
when will i hear? guitar was damaged in december. i use my guitar to earn a living. get your act together!,0
i was on hold for over <> minutes and was talking to one of your employees. i asked him for name or id and he hung up in my face!,0
i hope so but i've received no help so far. i've been on hold for more than an hour. can someone speak to me?,0
"tried other flight options as per weblink, non available for next <> days, frustrating notgoodenough poorservice",0
you asked me to dm then ignore them. please assist in changing to another flight today- <> feb fra to mco avoiding iad.,0
how do you stay in business with such poor service? poorservice notgoodenough,0
will the airline refuse my canadian passport with less than <> months remaining validity? going to us.,1
what time should i arrive at the airport for my <> domestic flight out of san diego?,1
<> taxing in at ord avgeek,1
i sent a dm re an existing reservation but no one has responded,0
i am going to a service desk now to see what the options are.,1
i miss the continental days.,0
or how about next time my bag is underweight you guys credit me <>. or how about i take my business to an airline that cares.,0
"it wasn't full, i had plenty of time to go to the gate and check, plus with my status i should have gotten on!?!",0
then why did your staff refuse to let me on the earlier flight citing my having checked a bag?!?!,0
"thanks for nothing. next time i'll bring a whole extra suitcase for my <> extra pound. that makes sense, right?",0
"first you lost all my bags, now you cancelled flight my flight home. <> minute wait to talk to somebody poorservice notgoodenough",0
"great landing in denver, next rapid city. snow starting to fall. florida everglades is a faint sunburn away. here comes the cold!",2
looking forward to flying with you guys as well !,2
how is it that my flight <> can arrive early and be delayed due to no gate being available. we are now <> minute late flight on tarmac,0
"my flight landed <> minute, but we are being told to stay on the plane, haven't pulled up to the gate and have little to no information.",0
"i have such a love hate relationship with you. some days you're good, the others you are so terribly awful its saddening",1
have better customer service at john wayne airport.,0
bag was finally delivered and intact. thanks for your assistance.,2
"passengers seated, crew ready wheresthepilot? <> from ord. hope he isn't at the bar.",0
booked <> tix <> month ago and now its about <> cheaper and customer service was useless. what's up with that?,0
is <> still taking off at <>? i'm stuck on the tarmac on <> waiting to get in.,0
you're right. good you caught the mechanical failure. too bad there are no blankets. but ok.,0
- we're sitting in <> getting delayed because the operations can't find captain. ridiculous,0
truly the worst day of flying i have ever experienced.,0
. you guys made my day. treated me well. thank you!,2
stuck in houston because you can't seem to get a plane to the destination on time in perfect flying conditions.,0
you phone customer service team is bad. think it is time for me to consider switching airlines.,0
how much longer ? been on the phone for over an hour to straighten out a star alliance upgrade!,0
how can i verify if wheelchair assistance has been requested for my next flight?,1
i left my dildo on the plane is there any way for me to get it back?,1
"don't know her last name, but karen at your call center is terrific. friendly, helpful. terrific representative. kudos.",2
i'm cancelled flighting my mileageplus card and i will never do business with you again. you clearly don't care about your customers.,0
"thank you! good service, safe flight. <><> way home!",2
"why even ask me to dm you and offer help if you ""can't do anything"" terriblecustomerservice airlines",0
yes and that is appreciated but misinformation damages credibility. you may want to have someone observe in newark fwiw,0
you guys suck!,0
"never fails, flying fc order ravioli get chicken. tell the fa she says you should of told me, other people wanted chicken. idiot.",0
second time flying into houston and <> minutes waiting for luggage at baggage. typical? still waiting.,0
"both flights went great and improved my view of your airline, cheers! flight attendents on <> deserve a raise",2
"again horrible service, again attitude when asked for information, again you make me not want to fly ever. platinummember",0
